symbol,entry_time,exit_time,entry_price,sl,tp1,tp2,tp3,exit_type,pnl_r,score,duration_h
BTCUSDT,2026-03-12 02:00:00,2026-03-16 04:00:00,69832.92,68317.30425217,71348.53574783,72864.15149566,74379.76724349,TP3,1.75,6.4,98
BTCUSDT,2026-03-18 08:00:00,2026-03-18 13:00:00,73895.01,72112.58588178,75677.43411822,77459.85823644,79242.28235466,SL,-1.0,7.01,5
BTCUSDT,2026-03-19 21:00:00,2026-03-21 23:00:00,70480.56,69006.93829419,71954.18170581,73427.80341163,74901.42511744,SL,-1.0,7.05,50
BTCUSDT,2026-03-26 08:00:00,2026-03-26 15:00:00,70090.93,69030.98396198,71150.87603802,72210.82207605,73270.76811407,SL,-1.0,6.01,7
BTCUSDT,2026-04-02 03:00:00,2026-04-07 22:00:00,66860.39,65597.34682495,68123.43317505,69386.4763501,70649.51952515,TP3,1.75,6.11,139
BTCUSDT,2026-04-10 08:00:00,2026-04-17 14:00:00,71480.06,69495.12789912,73464.99210088,75449.92420176,77434.85630264,TP3,1.75,6.8,174
BTCUSDT,2026-04-20 06:00:00,2026-04-22 02:00:00,74265.41,73183.24128897,75347.57871103,76429.74742207,77511.9161331,TP3,1.75,6.03,44
BTCUSDT,2026-04-24 04:00:00,2026-04-28 14:00:00,77738.95,75677.59769824,79800.30230176,81861.65460353,83923.00690529,SL,-1.0,6.75,106
BTCUSDT,2026-04-29 14:00:00,2026-04-29 15:00:00,76779.73,76066.68311691,77492.77688309,78205.82376617,78918.87064926,SL,-1.0,6.61,1
BTCUSDT,2026-05-04 13:00:00,2026-05-06 08:00:00,78850.01,77830.59629287,79869.42370713,80888.83741425,81908.25112138,TP3,1.75,7.16,43
BTCUSDT,2026-05-08 18:00:00,2026-05-13 15:00:00,80051.52,78911.27644264,81191.76355736,82332.00711472,83472.25067209,SL,0.75,6.569999999999999,117
BTCUSDT,2026-05-26 09:00:00,2026-05-26 22:00:00,76724.5,75685.50944618,77763.49055382,78802.48110763,79841.47166145,SL,0.0,6.63,13
