symbol,entry_time,exit_time,entry_price,sl,tp1,tp2,tp3,exit_type,pnl_r,score,duration_h
ETHUSDT,2026-03-09 01:00:00,2026-03-10 15:00:00,1951.03,1907.60055222,1994.45944778,2037.88889555,2081.31834333,TP3,1.75,7.55,38
ETHUSDT,2026-03-13 20:00:00,2026-03-16 04:00:00,2102.33,2051.61819006,2153.04180994,2203.75361987,2254.46542981,TP3,1.75,6.11,56
ETHUSDT,2026-03-19 22:00:00,2026-03-21 23:00:00,2149.86,2093.49680591,2206.22319409,2262.58638819,2318.94958228,SL,-1.0,6.03,49
ETHUSDT,2026-03-23 05:00:00,2026-03-27 10:00:00,2065.86,2003.8842,2127.8358,2189.8116,2251.7874,SL,0.75,6.05,101
ETHUSDT,2026-04-02 09:00:00,2026-04-07 23:00:00,2046.49,1985.0953,2107.8847,2169.2794,2230.6741,TP3,1.75,6.01,134
ETHUSDT,2026-04-09 23:00:00,2026-04-14 08:00:00,2197.66,2131.7302,2263.5898,2329.5196,2395.4494,TP3,1.75,6.6499999999999995,105
ETHUSDT,2026-04-16 08:00:00,2026-04-19 22:00:00,2341.85,2271.5945,2412.1055,2482.361,2552.6165,SL,0.0,6.0,86
ETHUSDT,2026-04-20 15:00:00,2026-04-29 18:00:00,2290.71,2233.09003323,2348.32996677,2405.94993353,2463.5699003,SL,0.75,6.03,219
ETHUSDT,2026-05-04 14:00:00,2026-05-07 14:00:00,2336.77,2296.26899355,2377.27100645,2417.77201289,2458.27301934,SL,0.75,6.96,72
ETHUSDT,2026-05-08 19:00:00,2026-05-12 13:00:00,2313.07,2273.20111883,2352.93888117,2392.80776234,2432.67664351,SL,0.0,6.3500000000000005,90
ETHUSDT,2026-05-14 01:00:00,2026-05-15 13:00:00,2266.72,2233.65477174,2299.78522826,2332.85045651,2365.91568477,SL,0.0,6.55,36
