symbol,entry_time,exit_time,entry_price,sl,tp1,tp2,tp3,exit_type,pnl_r,score,duration_h
SOLUSDT,2026-03-06 23:00:00,2026-03-07 19:00:00,84.95,82.61279995,87.28720005,89.62440011,91.96160016,SL,-1.0,6.73,20
SOLUSDT,2026-03-12 02:00:00,2026-03-16 03:00:00,86.03,83.4491,88.6109,91.1918,93.7727,TP3,1.75,6.45,97
SOLUSDT,2026-03-18 08:00:00,2026-03-18 11:00:00,93.95,91.93818077,95.96181923,97.97363846,99.98545769,SL,-1.0,6.76,3
SOLUSDT,2026-03-31 10:00:00,2026-04-02 12:00:00,80.54,78.1238,82.9562,85.3724,87.7886,SL,0.75,6.9,50
SOLUSDT,2026-04-06 23:00:00,2026-04-07 14:00:00,80.16,78.50653004,81.81346996,83.46693992,85.12040988,SL,-1.0,6.15,15
SOLUSDT,2026-04-10 03:00:00,2026-04-16 19:00:00,83.25,81.08999124,85.41000876,87.57001752,89.73002629,TP3,1.75,6.75,160
SOLUSDT,2026-04-23 10:00:00,2026-04-28 11:00:00,85.53,83.45148879,87.60851121,89.68702241,91.76553362,SL,0.0,6.91,121
SOLUSDT,2026-05-04 11:00:00,2026-05-06 03:00:00,84.06,83.00912507,85.11087493,86.16174986,87.2126248,TP3,1.75,6.53,40
SOLUSDT,2026-05-11 13:00:00,2026-05-13 12:00:00,94.8,93.26488337,96.33511663,97.87023327,99.4053499,SL,0.75,6.11,47
SOLUSDT,2026-05-15 02:00:00,2026-05-15 05:00:00,91.73,90.37196013,93.08803987,94.44607975,95.80411962,SL,-1.0,6.4,3
SOLUSDT,2026-05-15 06:00:00,2026-05-15 14:00:00,90.6,88.66430499,92.53569501,94.47139002,96.40708503,SL,-1.0,6.7,8
SOLUSDT,2026-05-19 10:00:00,2026-05-23 07:00:00,84.76,82.51386162,87.00613838,89.25227676,91.49841514,SL,0.0,7.960000000000001,93
SOLUSDT,2026-06-02 05:00:00,2026-06-02 09:00:00,80.43,78.96742572,81.89257428,83.35514856,84.81772284,SL,-1.0,6.38,4
