symbol,entry_time,exit_time,entry_price,sl,tp1,tp2,tp3,exit_type,pnl_r,score,duration_h
BTCUSDT,2025-12-23 19:00:00,2026-01-13 22:00:00,87974.59,85690.37845011,90258.80154989,92543.01309979,94827.22464968,TP3,1.75,7.25,507
BTCUSDT,2026-01-15 20:00:00,2026-01-19 00:00:00,95515.52,93490.86034815,97540.17965185,99564.83930369,101589.49895554,SL,-1.0,6.45,76
BTCUSDT,2026-01-21 23:00:00,2026-01-25 18:00:00,89762.65,87069.7705,92455.5295,95148.409,97841.2885,SL,-1.0,7.1,91
BTCUSDT,2026-01-26 17:00:00,2026-01-29 15:00:00,87604.85,86312.09035699,88897.60964301,90190.36928602,91483.12892902,SL,0.75,6.18,70
BTCUSDT,2026-02-06 09:00:00,2026-02-06 17:00:00,64891.98,62945.2206,66838.7394,68785.4988,70732.2582,TP3,1.75,6.949999999999999,8
BTCUSDT,2026-02-10 06:00:00,2026-02-11 04:00:00,69444.85,67407.97689702,71481.72310298,73518.59620595,75555.46930893,SL,-1.0,6.430000000000001,22
BTCUSDT,2026-02-13 01:00:00,2026-02-23 19:00:00,65918.58,64131.84147703,67705.31852297,69492.05704595,71278.79556892,SL,0.75,6.4,258
BTCUSDT,2026-02-25 06:00:00,2026-02-25 18:00:00,64882.77,63362.7883357,66402.7516643,67922.7333286,69442.7149929,TP3,1.75,6.6000000000000005,12
BTCUSDT,2026-02-26 22:00:00,2026-02-27 11:00:00,67463.69,66080.10920156,68847.27079844,70230.85159688,71614.43239532,SL,-1.0,7.13,13
BTCUSDT,2026-03-06 09:00:00,2026-03-06 14:00:00,70778.0,68718.42805084,72837.57194916,74897.14389831,76956.71584747,SL,-1.0,6.33,5
BTCUSDT,2026-03-12 02:00:00,2026-03-16 04:00:00,69832.92,68317.30363279,71348.53636721,72864.15273443,74379.76910164,TP3,1.75,6.4,98
BTCUSDT,2026-03-18 08:00:00,2026-03-18 13:00:00,73895.01,72112.58588178,75677.43411822,77459.85823644,79242.28235466,SL,-1.0,7.01,5
BTCUSDT,2026-03-19 21:00:00,2026-03-21 23:00:00,70480.56,69006.93829419,71954.18170581,73427.80341163,74901.42511744,SL,-1.0,7.05,50
BTCUSDT,2026-03-26 08:00:00,2026-03-26 15:00:00,70090.93,69030.98396198,71150.87603802,72210.82207605,73270.76811407,SL,-1.0,6.01,7
BTCUSDT,2026-04-02 03:00:00,2026-04-07 22:00:00,66860.39,65597.34682495,68123.43317505,69386.4763501,70649.51952515,TP3,1.75,6.11,139
BTCUSDT,2026-04-10 08:00:00,2026-04-17 14:00:00,71480.06,69495.12789912,73464.99210088,75449.92420176,77434.85630264,TP3,1.75,6.8,174
BTCUSDT,2026-04-20 06:00:00,2026-04-22 02:00:00,74265.41,73183.24128897,75347.57871103,76429.74742207,77511.9161331,TP3,1.75,6.03,44
BTCUSDT,2026-04-24 04:00:00,2026-04-28 14:00:00,77738.95,75677.59769824,79800.30230176,81861.65460353,83923.00690529,SL,-1.0,6.75,106
BTCUSDT,2026-04-29 14:00:00,2026-04-29 15:00:00,76779.73,76066.68311691,77492.77688309,78205.82376617,78918.87064926,SL,-1.0,6.61,1
BTCUSDT,2026-05-04 13:00:00,2026-05-06 08:00:00,78850.01,77830.59629287,79869.42370713,80888.83741425,81908.25112138,TP3,1.75,7.16,43
BTCUSDT,2026-05-08 18:00:00,2026-05-13 15:00:00,80051.52,78911.27644264,81191.76355736,82332.00711472,83472.25067209,SL,0.75,6.569999999999999,117
BTCUSDT,2026-05-26 09:00:00,2026-05-26 22:00:00,76724.5,75685.50944618,77763.49055382,78802.48110763,79841.47166145,SL,0.0,6.63,13
