symbol,entry_time,exit_time,entry_price,sl,tp1,tp2,tp3,exit_type,pnl_r,score,duration_h
ETHUSDT,2025-12-11 05:00:00,2025-12-12 15:00:00,3215.19,3118.7343,3311.6457,3408.1014,3504.5571,SL,-1.0,7.0,34
ETHUSDT,2025-12-24 04:00:00,2026-01-05 01:00:00,2945.74,2860.08774018,3031.39225982,3117.04451963,3202.69677945,TP3,1.75,7.3,285
ETHUSDT,2026-01-05 14:00:00,2026-01-08 07:00:00,3154.65,3102.59577852,3206.70422148,3258.75844295,3310.81266443,SL,0.75,7.71,65
ETHUSDT,2026-01-09 10:00:00,2026-01-13 22:00:00,3092.37,3019.20948567,3165.53051433,3238.69102865,3311.85154298,TP3,1.75,7.01,108
ETHUSDT,2026-01-22 00:00:00,2026-01-23 14:00:00,2982.25,2892.7825,3071.7175,3161.185,3250.6525,SL,-1.0,7.1499999999999995,38
ETHUSDT,2026-03-03 14:00:00,2026-03-04 14:00:00,1952.13,1905.28254824,1998.97745176,2045.82490351,2092.67235527,TP3,1.75,7.53,24
ETHUSDT,2026-03-09 02:00:00,2026-03-10 08:00:00,1946.2,1907.51070515,1984.88929485,2023.57858971,2062.26788456,TP3,1.75,7.75,30
ETHUSDT,2026-04-07 14:00:00,2026-04-07 22:00:00,2075.17,2030.04345406,2120.29654594,2165.42309188,2210.54963783,TP3,1.75,7.45,8
ETHUSDT,2026-04-10 00:00:00,2026-04-13 23:00:00,2189.95,2124.2515,2255.6485,2321.347,2387.0455,TP3,1.75,7.7299999999999995,95
ETHUSDT,2026-05-06 15:00:00,2026-05-07 13:00:00,2359.39,2309.35457289,2409.42542711,2459.46085421,2509.49628132,SL,-1.0,7.0600000000000005,22
ETHUSDT,2026-05-11 05:00:00,2026-05-12 08:00:00,2333.01,2287.08961655,2378.93038345,2424.8507669,2470.77115035,SL,-1.0,7.46,27
